From,UniprotID,Reviewed,Entry Name,Protein names,Gene,Organism,Length,Uniprot_Gene
USP42,A4D2N6,unreviewed,A4D2N6_HUMAN,Ubiquitin specific protease 42,USP42 tcag7.880,Homo sapiens (Human),1350,A4D2N6_USP42
USP42,A4D2N7,unreviewed,A4D2N7_HUMAN,Ubiquitin specific protease 42,USP42 tcag7.880,Homo sapiens (Human),1246,A4D2N7_USP42
USP42,B4DP25,unreviewed,B4DP25_HUMAN,"Ubiquitin specific peptidase 42 (cDNA FLJ53014, highly similar to Ubiquitin carboxyl-terminal hydrolase 42)",USP42,Homo sapiens (Human),174,B4DP25_USP42
USP42,C9JPC9,unreviewed,C9JPC9_HUMAN,Ubiquitin specific peptidase 42,USP42,Homo sapiens (Human),1043,C9JPC9_USP42
USP42,E5RJP3,unreviewed,E5RJP3_HUMAN,Ubiquitin specific peptidase 42,USP42,Homo sapiens (Human),219,E5RJP3_USP42
USP42,E7EWZ4,unreviewed,E7EWZ4_HUMAN,Ubiquitin specific peptidase 42,USP42,Homo sapiens (Human),475,E7EWZ4_USP42
USP42,F8WD92,unreviewed,F8WD92_HUMAN,Ubiquitin specific peptidase 42,USP42,Homo sapiens (Human),98,F8WD92_USP42
USP43,Q70EL4,reviewed,UBP43_HUMAN,Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43),USP43,Homo sapiens (Human),1123,Q70EL4_USP43
USP43,V9GXZ5,unreviewed,V9GXZ5_HUMAN,Ubiquitin specific peptidase 43,USP43,Homo sapiens (Human),910,V9GXZ5_USP43
USP43,V9GZ20,unreviewed,V9GZ20_HUMAN,Ubiquitin specific peptidase 43,USP43,Homo sapiens (Human),648,V9GZ20_USP43
USP44,Q9H0E7,reviewed,UBP44_HUMAN,Ubiquitin carboxyl-terminal hydrolase 44 (EC 3.4.19.12) (Deubiquitinating enzyme 44) (Ubiquitin thioesterase 44) (Ubiquitin-specific-processing protease 44),USP44,Homo sapiens (Human),712,Q9H0E7_USP44
USP44,A0A024RBD7,unreviewed,A0A024RBD7_HUMAN,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),USP44 hCG_1642341,Homo sapiens (Human),712,A0A024RBD7_USP44
USP44,F8VRI7,unreviewed,F8VRI7_HUMAN,Ubiquitin specific peptidase 44,USP44,Homo sapiens (Human),496,F8VRI7_USP44
USP44,F8VRW0,unreviewed,F8VRW0_HUMAN,Ubiquitin specific peptidase 44,USP44,Homo sapiens (Human),164,F8VRW0_USP44
USP44,F8VVD6,unreviewed,F8VVD6_HUMAN,Ubiquitin specific peptidase 44,USP44,Homo sapiens (Human),111,F8VVD6_USP44
USP45,Q70EL2,reviewed,UBP45_HUMAN,Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Deubiquitinating enzyme 45) (Ubiquitin thioesterase 45) (Ubiquitin-specific-processing protease 45),USP45,Homo sapiens (Human),814,Q70EL2_USP45
USP45,D6RBV3,unreviewed,D6RBV3_HUMAN,"HCG17265, isoform CRA_a (Ubiquitin specific peptidase 45)",USP45 hCG_17265,Homo sapiens (Human),289,D6RBV3_USP45
USP45,D6RC01,unreviewed,D6RC01_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),345,D6RC01_USP45
USP45,D6RE98,unreviewed,D6RE98_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),52,D6RE98_USP45
USP45,E2QRF0,unreviewed,E2QRF0_HUMAN,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),USP45,Homo sapiens (Human),766,E2QRF0_USP45
USP45,H0Y8J5,unreviewed,H0Y8J5_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),209,H0Y8J5_USP45
USP45,H0Y8Q0,unreviewed,H0Y8Q0_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),148,H0Y8Q0_USP45
USP45,H0Y986,unreviewed,H0Y986_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),135,H0Y986_USP45
USP45,H0YA21,unreviewed,H0YA21_HUMAN,Ubiquitin specific peptidase 45,USP45,Homo sapiens (Human),191,H0YA21_USP45
USP46,P62068,reviewed,UBP46_HUMAN,Ubiquitin carboxyl-terminal hydrolase 46 (EC 3.4.19.12) (Deubiquitinating enzyme 46) (Ubiquitin thioesterase 46) (Ubiquitin-specific-processing protease 46),USP46,Homo sapiens (Human),366,P62068_USP46
USP46,D6R9Z4,unreviewed,D6R9Z4_HUMAN,Ubiquitin specific peptidase 46,USP46,Homo sapiens (Human),40,D6R9Z4_USP46
USP46,H7BZK6,unreviewed,H7BZK6_HUMAN,Ubiquitin specific peptidase 46,USP46,Homo sapiens (Human),339,H7BZK6_USP46
USP46,L8ECJ9,unreviewed,L8ECJ9_HUMAN,Alternative protein USP46,USP46,Homo sapiens (Human),66,L8ECJ9_USP46
USP47,Q96K76,reviewed,UBP47_HUMAN,Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47),USP47,Homo sapiens (Human),1375,Q96K76_USP47
USP47,A0PJ80,unreviewed,A0PJ80_HUMAN,ubiquitinyl hydrolase 1 (EC 3.4.19.12),USP47,Homo sapiens (Human),331,A0PJ80_USP47
USP48,Q86UV5,reviewed,UBP48_HUMAN,Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48),USP48 USP31,Homo sapiens (Human),1035,Q86UV5_USP48
USP48,A0A0A0MRS6,unreviewed,A0A0A0MRS6_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),521,A0A0A0MRS6_USP48
USP48,B7ZKR8,unreviewed,B7ZKR8_HUMAN,ubiquitinyl hydrolase 1 (EC 3.4.19.12),USP48,Homo sapiens (Human),983,B7ZKR8_USP48
USP48,B7ZKS3,unreviewed,B7ZKS3_HUMAN,Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12),USP48,Homo sapiens (Human),1035,B7ZKS3_USP48
USP48,E9PJ87,unreviewed,E9PJ87_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),38,E9PJ87_USP48
USP48,E9PJ93,unreviewed,E9PJ93_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),146,E9PJ93_USP48
USP48,E9PJH5,unreviewed,E9PJH5_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),135,E9PJH5_USP48
USP48,E9PRY5,unreviewed,E9PRY5_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),48,E9PRY5_USP48
USP48,H3BLX5,unreviewed,H3BLX5_HUMAN,Ubiquitin specific peptidase 48,USP48,Homo sapiens (Human),115,H3BLX5_USP48
USP49,Q70CQ1,reviewed,UBP49_HUMAN,Ubiquitin carboxyl-terminal hydrolase 49 (EC 3.4.19.12) (Deubiquitinating enzyme 49) (Ubiquitin thioesterase 49) (Ubiquitin-specific-processing protease 49),USP49,Homo sapiens (Human),688,Q70CQ1_USP49
USP49,A6PVU3,unreviewed,A6PVU3_HUMAN,Ubiquitin specific peptidase 49,USP49,Homo sapiens (Human),15,A6PVU3_USP49
USP49,H7BZI7,unreviewed,H7BZI7_HUMAN,Ubiquitin specific peptidase 49,USP49,Homo sapiens (Human),52,H7BZI7_USP49
USP49,Q5T3E1,unreviewed,Q5T3E1_HUMAN,Ubiquitin specific peptidase 49,USP49,Homo sapiens (Human),585,Q5T3E1_USP49
USP50,Q70EL3,reviewed,UBP50_HUMAN,Inactive ubiquitin carboxyl-terminal hydrolase 50 (Inactive ubiquitin-specific peptidase 50),USP50,Homo sapiens (Human),339,Q70EL3_USP50
USP50,A0A087X0L6,unreviewed,A0A087X0L6_HUMAN,Ubiquitin specific peptidase 50,USP50,Homo sapiens (Human),343,A0A087X0L6_USP50
USP50,A0A669KB43,unreviewed,A0A669KB43_HUMAN,Ubiquitin specific peptidase 50,USP50,Homo sapiens (Human),93,A0A669KB43_USP50
USP50,H0YDN5,unreviewed,H0YDN5_HUMAN,Ubiquitin specific peptidase 50,USP50,Homo sapiens (Human),90,H0YDN5_USP50
USP50,H0YNB9,unreviewed,H0YNB9_HUMAN,Ubiquitin specific peptidase 50,USP50,Homo sapiens (Human),61,H0YNB9_USP50
USP50,L8EBI2,unreviewed,L8EBI2_HUMAN,Alternative protein USP50,USP50,Homo sapiens (Human),45,L8EBI2_USP50
USP51,Q70EK9,reviewed,UBP51_HUMAN,Ubiquitin carboxyl-terminal hydrolase 51 (EC 3.4.19.12) (Deubiquitinating enzyme 51) (Ubiquitin thioesterase 51) (Ubiquitin-specific-processing protease 51),USP51,Homo sapiens (Human),711,Q70EK9_USP51
USP51,A0A1B0GVA6,unreviewed,A0A1B0GVA6_HUMAN,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),USP51,Homo sapiens (Human),430,A0A1B0GVA6_USP51
PAN2,Q504Q3,reviewed,PAN2_HUMAN,PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2),PAN2 KIAA0710 USP52,Homo sapiens (Human),1202,Q504Q3_PAN2
PAN2,Q96MN2,reviewed,NALP4_HUMAN,"NACHT, LRR and PYD domains-containing protein 4 (Cancer/testis antigen 58) (CT58) (PAAD and NACHT-containing protein 2) (PAN2) (PYRIN and NACHT-containing protein 2) (PYRIN-containing APAF1-like protein 4) (PYPAF4) (Ribonuclease inhibitor 2)",NLRP4 NALP4 PAN2 PYPAF4 RNH2,Homo sapiens (Human),994,Q96MN2_PAN2
PAN2,Q9HBH5,reviewed,RDH14_HUMAN,Retinol dehydrogenase 14 (EC 1.1.1.300) (Alcohol dehydrogenase PAN2) (Short chain dehydrogenase/reductase family 7C member 4),RDH14 PAN2 SDR7C4 UNQ529/PRO1072,Homo sapiens (Human),336,Q9HBH5_PAN2
PAN2,F8VXK8,unreviewed,F8VXK8_HUMAN,Poly(A) specific ribonuclease subunit PAN2,PAN2,Homo sapiens (Human),111,F8VXK8_PAN2
USP53,Q70EK8,reviewed,UBP53_HUMAN,Inactive ubiquitin carboxyl-terminal hydrolase 53 (Inactive ubiquitin-specific peptidase 53),USP53 KIAA1350,Homo sapiens (Human),1073,Q70EK8_USP53
USP53,A0A8I5KT61,unreviewed,A0A8I5KT61_HUMAN,Ubiquitin specific peptidase 53,USP53,Homo sapiens (Human),768,A0A8I5KT61_USP53
USP53,A0A8J9FKG6,unreviewed,A0A8J9FKG6_HUMAN,Ubiquitin specific peptidase 53,USP53,Homo sapiens (Human),800,A0A8J9FKG6_USP53
USP53,D6RF54,unreviewed,D6RF54_HUMAN,Ubiquitin specific peptidase 53,USP53,Homo sapiens (Human),327,D6RF54_USP53
USP53,H0Y8Q1,unreviewed,H0Y8Q1_HUMAN,Ubiquitin specific peptidase 53,USP53,Homo sapiens (Human),64,H0Y8Q1_USP53
USP53,L8E8X6,unreviewed,L8E8X6_HUMAN,Alternative protein USP53,USP53,Homo sapiens (Human),41,L8E8X6_USP53
USP54,Q70EL1,reviewed,UBP54_HUMAN,Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54),USP54 C10orf29,Homo sapiens (Human),1684,Q70EL1_USP54
USP54,A0A7P0T9K1,unreviewed,A0A7P0T9K1_HUMAN,"Ubiquitin specific peptidase 54 (Ubiquitin specific peptidase 54, isoform CRA_b)",USP54 hCG_1730077,Homo sapiens (Human),1637,A0A7P0T9K1_USP54
USP54,A0A7P0T9N2,unreviewed,A0A7P0T9N2_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),1413,A0A7P0T9N2_USP54
USP54,A0A804D9U3,unreviewed,A0A804D9U3_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),837,A0A804D9U3_USP54
USP54,A0A8I5KNN9,unreviewed,A0A8I5KNN9_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),819,A0A8I5KNN9_USP54
USP54,A0A8I5KRV2,unreviewed,A0A8I5KRV2_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),113,A0A8I5KRV2_USP54
USP54,A0A8I5KTP4,unreviewed,A0A8I5KTP4_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),1644,A0A8I5KTP4_USP54
USP54,A0A8I5KYV7,unreviewed,A0A8I5KYV7_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),797,A0A8I5KYV7_USP54
USP54,A0A8I5KYW2,unreviewed,A0A8I5KYW2_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),740,A0A8I5KYW2_USP54
USP54,H7C1E9,unreviewed,H7C1E9_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),635,H7C1E9_USP54
USP54,H7C296,unreviewed,H7C296_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),358,H7C296_USP54
USP54,R4GN32,unreviewed,R4GN32_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),412,R4GN32_USP54
USP54,X6RGF2,unreviewed,X6RGF2_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),143,X6RGF2_USP54
USP54,X6RH50,unreviewed,X6RH50_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),153,X6RH50_USP54
USP54,X6RHN7,unreviewed,X6RHN7_HUMAN,Ubiquitin specific peptidase 54,USP54,Homo sapiens (Human),80,X6RHN7_USP54
GGH,Q92820,reviewed,GGH_HUMAN,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase),GGH,Homo sapiens (Human),318,Q92820_GGH
GGH,A0A7I2V431,unreviewed,A0A7I2V431_HUMAN,Gamma-glutamyl hydrolase,GGH,Homo sapiens (Human),46,A0A7I2V431_GGH
GGH,A0A7I2V5M0,unreviewed,A0A7I2V5M0_HUMAN,Gamma-glutamyl hydrolase,GGH,Homo sapiens (Human),93,A0A7I2V5M0_GGH
GGH,A0A7I2V5P2,unreviewed,A0A7I2V5P2_HUMAN,folate gamma-glutamyl hydrolase (EC 3.4.19.9),GGH,Homo sapiens (Human),245,A0A7I2V5P2_GGH
GGH,A0A7I2V5X9,unreviewed,A0A7I2V5X9_HUMAN,folate gamma-glutamyl hydrolase (EC 3.4.19.9),GGH,Homo sapiens (Human),271,A0A7I2V5X9_GGH
GGH,A0A7I2YQQ3,unreviewed,A0A7I2YQQ3_HUMAN,folate gamma-glutamyl hydrolase (EC 3.4.19.9),GGH,Homo sapiens (Human),289,A0A7I2YQQ3_GGH
PPAT,Q06203,reviewed,PUR1_HUMAN,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPAT),PPAT GPAT,Homo sapiens (Human),517,Q06203_PPAT
PPAT,A8K4H7,unreviewed,A8K4H7_HUMAN,Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase),PPAT hCG_2027246,Homo sapiens (Human),517,A8K4H7_PPAT
PPAT,D6RCC8,unreviewed,D6RCC8_HUMAN,Phosphoribosyl pyrophosphate amidotransferase,PPAT,Homo sapiens (Human),192,D6RCC8_PPAT
PPAT,D6RE15,unreviewed,D6RE15_HUMAN,Phosphoribosyl pyrophosphate amidotransferase,PPAT,Homo sapiens (Human),72,D6RE15_PPAT
GFPT1,Q06210,reviewed,GFPT1_HUMAN,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1),GFPT1 GFAT GFPT,Homo sapiens (Human),699,Q06210_GFPT1
GFPT1,A0A6I8PRN4,unreviewed,A0A6I8PRN4_HUMAN,glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16),GFPT1,Homo sapiens (Human),609,A0A6I8PRN4_GFPT1
GFPT1,A0A6I8PRT6,unreviewed,A0A6I8PRT6_HUMAN,Glutamine--fructose-6-phosphate transaminase 1,GFPT1,Homo sapiens (Human),57,A0A6I8PRT6_GFPT1
GFPT1,A0A6I8PTT9,unreviewed,A0A6I8PTT9_HUMAN,glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16),GFPT1,Homo sapiens (Human),625,A0A6I8PTT9_GFPT1
GFPT2,O94808,reviewed,GFPT2_HUMAN,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2),GFPT2,Homo sapiens (Human),682,O94808_GFPT2
GFPT2,A0A0S2Z4W6,unreviewed,A0A0S2Z4W6_HUMAN,glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16),GFPT2,Homo sapiens (Human),628,A0A0S2Z4W6_GFPT2
GFPT2,A0A0S2Z4X9,unreviewed,A0A0S2Z4X9_HUMAN,glutamine--fructose-6-phosphate transaminase (isomerizing) (EC 2.6.1.16),GFPT2 hCG_15277,Homo sapiens (Human),682,A0A0S2Z4X9_GFPT2
GFPT2,D6RAC1,unreviewed,D6RAC1_HUMAN,Glutamine-fructose-6-phosphate transaminase 2,GFPT2,Homo sapiens (Human),178,D6RAC1_GFPT2
GFPT2,E5RJP4,unreviewed,E5RJP4_HUMAN,Glutamine-fructose-6-phosphate transaminase 2,GFPT2,Homo sapiens (Human),216,E5RJP4_GFPT2
SHH,Q15465,reviewed,SHH_HUMAN,Sonic hedgehog protein (SHH) (EC 3.1.-.-) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)],SHH,Homo sapiens (Human),462,Q15465_SHH
SHH,C9JC48,unreviewed,C9JC48_HUMAN,Sonic hedgehog signaling molecule,SHH,Homo sapiens (Human),169,C9JC48_SHH
SHH,D9ZGF9,unreviewed,D9ZGF9_HUMAN,Hedgehog protein,SHH hCG_18375,Homo sapiens (Human),465,D9ZGF9_SHH
SHH,F8WB84,unreviewed,F8WB84_HUMAN,Sonic hedgehog signaling molecule,SHH,Homo sapiens (Human),126,F8WB84_SHH
SHH,F8WEH4,unreviewed,F8WEH4_HUMAN,Sonic hedgehog signaling molecule,SHH,Homo sapiens (Human),123,F8WEH4_SHH
IHH,Q14623,reviewed,IHH_HUMAN,Indian hedgehog protein (IHH) (EC 3.1.-.-) (HHG-2) [Cleaved into: Indian hedgehog protein N-product],IHH,Homo sapiens (Human),411,Q14623_IHH
IHH,Q4ZFW8,unreviewed,Q4ZFW8_HUMAN,Uncharacterized protein IHH,IHH,Homo sapiens (Human),293,Q4ZFW8_IHH
DHH,O43323,reviewed,DHH_HUMAN,Desert hedgehog protein (DHH) (EC 3.1.-.-) (HHG-3) [Cleaved into: Desert hedgehog protein N-product (DHH-N)],DHH,Homo sapiens (Human),396,O43323_DHH
DHH,F6KSZ4,unreviewed,F6KSZ4_HUMAN,Hedgehog protein,DHH,Homo sapiens (Human),395,F6KSZ4_DHH
DHH,F6KSZ5,unreviewed,F6KSZ5_HUMAN,Mutant desert hedgehog,DHH,Homo sapiens (Human),90,F6KSZ5_DHH
SENP1,Q9P0U3,reviewed,SENP1_HUMAN,Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1),SENP1,Homo sapiens (Human),644,Q9P0U3_SENP1
SENP1,F8VRZ8,unreviewed,F8VRZ8_HUMAN,SUMO specific peptidase 1,SENP1,Homo sapiens (Human),142,F8VRZ8_SENP1
SENP1,F8W0I8,unreviewed,F8W0I8_HUMAN,SUMO specific peptidase 1,SENP1,Homo sapiens (Human),130,F8W0I8_SENP1
SENP2,Q9HC62,reviewed,SENP2_HUMAN,Sentrin-specific protease 2 (EC 3.4.22.-) (Axam2) (SMT3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2),SENP2 KIAA1331,Homo sapiens (Human),589,Q9HC62_SENP2
SENP2,C9IYB7,unreviewed,C9IYB7_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),273,C9IYB7_SENP2
SENP2,F8WCX8,unreviewed,F8WCX8_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),60,F8WCX8_SENP2
SENP2,F8WED6,unreviewed,F8WED6_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),54,F8WED6_SENP2
SENP2,F8WED7,unreviewed,F8WED7_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),104,F8WED7_SENP2
SENP2,F8WET6,unreviewed,F8WET6_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),105,F8WET6_SENP2
SENP2,H7C1A0,unreviewed,H7C1A0_HUMAN,SUMO specific peptidase 2,SENP2,Homo sapiens (Human),203,H7C1A0_SENP2
SENP3,Q9H4L4,reviewed,SENP3_HUMAN,Sentrin-specific protease 3 (EC 3.4.22.-) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3),SENP3 SSP3 SUSP3,Homo sapiens (Human),574,Q9H4L4_SENP3
SENP3,A0A087WV50,unreviewed,A0A087WV50_HUMAN,SUMO specific peptidase 3,SENP3,Homo sapiens (Human),177,A0A087WV50_SENP3
SENP3,A0A087WZ63,unreviewed,A0A087WZ63_HUMAN,SUMO specific peptidase 3,SENP3,Homo sapiens (Human),63,A0A087WZ63_SENP3
SENP3,J3KSF5,unreviewed,J3KSF5_HUMAN,SUMO specific peptidase 3,SENP3,Homo sapiens (Human),82,J3KSF5_SENP3
SENP3,J3QL36,unreviewed,J3QL36_HUMAN,SUMO specific peptidase 3,SENP3,Homo sapiens (Human),237,J3QL36_SENP3
SENP3,J3QRE4,unreviewed,J3QRE4_HUMAN,SUMO specific peptidase 3,SENP3,Homo sapiens (Human),110,J3QRE4_SENP3
SENP5,Q96HI0,reviewed,SENP5_HUMAN,Sentrin-specific protease 5 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP5),SENP5 FKSG45,Homo sapiens (Human),755,Q96HI0_SENP5
SENP5,C9JHT8,unreviewed,C9JHT8_HUMAN,"SUMO specific peptidase 5 (SUMO1/sentrin specific peptidase 5, isoform CRA_a)",SENP5 hCG_41193,Homo sapiens (Human),245,C9JHT8_SENP5
SENP5,H7C2F8,unreviewed,H7C2F8_HUMAN,SUMO specific peptidase 5,SENP5,Homo sapiens (Human),98,H7C2F8_SENP5
SENP5,H7C424,unreviewed,H7C424_HUMAN,SUMO specific peptidase 5,SENP5,Homo sapiens (Human),77,H7C424_SENP5
SENP6,Q9GZR1,reviewed,SENP6_HUMAN,Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6),SENP6 KIAA0797 SSP1 SUSP1 FKSG6,Homo sapiens (Human),1112,Q9GZR1_SENP6
SENP6,D6RG09,unreviewed,D6RG09_HUMAN,SUMO specific peptidase 6,SENP6,Homo sapiens (Human),220,D6RG09_SENP6
SENP6,D6RJH1,unreviewed,D6RJH1_HUMAN,SUMO specific peptidase 6,SENP6,Homo sapiens (Human),74,D6RJH1_SENP6
SENP6,F8W6D9,unreviewed,F8W6D9_HUMAN,SUMO specific peptidase 6,SENP6,Homo sapiens (Human),685,F8W6D9_SENP6
SENP6,H0Y4F4,unreviewed,H0Y4F4_HUMAN,SUMO specific peptidase 6,SENP6,Homo sapiens (Human),582,H0Y4F4_SENP6
SENP6,H0Y8Y8,unreviewed,H0Y8Y8_HUMAN,SUMO specific peptidase 6,SENP6,Homo sapiens (Human),388,H0Y8Y8_SENP6
SENP6,L8E9U8,unreviewed,L8E9U8_HUMAN,Alternative protein SENP6,SENP6,Homo sapiens (Human),43,L8E9U8_SENP6
SENP6,L8ECG3,unreviewed,L8ECG3_HUMAN,Alternative protein SENP6,SENP6,Homo sapiens (Human),62,L8ECG3_SENP6
SENP7,Q9BQF6,reviewed,SENP7_HUMAN,Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7),SENP7 KIAA1707 SSP2 SUSP2,Homo sapiens (Human),1050,Q9BQF6_SENP7
SENP7,H7C1X8,unreviewed,H7C1X8_HUMAN,SUMO specific peptidase 7,SENP7,Homo sapiens (Human),50,H7C1X8_SENP7
SENP7,J3QT09,unreviewed,J3QT09_HUMAN,SUMO specific peptidase 7,SENP7,Homo sapiens (Human),985,J3QT09_SENP7
SENP8,Q96LD8,reviewed,SENP8_HUMAN,"Sentrin-specific protease 8 (EC 3.4.22.-) (Deneddylase-1) (NEDD8-specific protease 1) (Protease, cysteine 2) (Sentrin/SUMO-specific protease SENP8)",SENP8 DEN1 NEDP1 PRSC2 FKSG8,Homo sapiens (Human),212,Q96LD8_SENP8
SENP8,H3BS71,unreviewed,H3BS71_HUMAN,"SUMO peptidase family member, NEDD8 specific",SENP8,Homo sapiens (Human),73,H3BS71_SENP8
SENP8,H3BTJ8,unreviewed,H3BTJ8_HUMAN,"SUMO peptidase family member, NEDD8 specific",SENP8,Homo sapiens (Human),37,H3BTJ8_SENP8
SENP8,H3BTK5,unreviewed,H3BTK5_HUMAN,"SUMO peptidase family member, NEDD8 specific",SENP8,Homo sapiens (Human),130,H3BTK5_SENP8
ESPL1,Q14674,reviewed,ESPL1_HUMAN,Separin (EC 3.4.22.49) (Caspase-like protein ESPL1) (Extra spindle poles-like 1 protein) (Separase),ESPL1 ESP1 KIAA0165,Homo sapiens (Human),2120,Q14674_ESPL1
ESPL1,H3BM31,unreviewed,H3BM31_HUMAN,"Extra spindle pole bodies like 1, separase",ESPL1,Homo sapiens (Human),49,H3BM31_ESPL1
ESPL1,H3BRX7,unreviewed,H3BRX7_HUMAN,"Extra spindle pole bodies like 1, separase",ESPL1,Homo sapiens (Human),195,H3BRX7_ESPL1
ATG4B,Q9Y4P1,reviewed,ATG4B_HUMAN,Cysteine protease ATG4B (EC 3.4.22.-) (AUT-like 1 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 1) (Autophagin-1) (Autophagy-related protein 4 homolog B) (HsAPG4B) (hAPG4B),ATG4B APG4B AUTL1 KIAA0943,Homo sapiens (Human),393,Q9Y4P1_ATG4B
ATG4B,C9J1C1,unreviewed,C9J1C1_HUMAN,Cysteine protease (EC 3.4.22.-),ATG4B,Homo sapiens (Human),66,C9J1C1_ATG4B
ATG4B,C9JIK8,unreviewed,C9JIK8_HUMAN,Cysteine protease (EC 3.4.22.-),ATG4B,Homo sapiens (Human),219,C9JIK8_ATG4B
ATG4B,F2Z2K8,unreviewed,F2Z2K8_HUMAN,Autophagy related 4B cysteine peptidase,ATG4B,Homo sapiens (Human),88,F2Z2K8_ATG4B
ATG4B,H0Y2Y0,unreviewed,H0Y2Y0_HUMAN,Autophagy related 4B cysteine peptidase,ATG4B,Homo sapiens (Human),76,H0Y2Y0_ATG4B
